issueno,month,year,skater,trick,obstacle,detailer,staircount,spot,location,notes,special,soty
381,november,2011,dakota servold,fs boardslide,ledge,hubba,6 flat 6,Wedge Hubba,"Scottsdale, AZ",,,
382,december,2011,julian davidson,kickflip,gap,bump to bump,,,,,,
383,january,2012,vincent alvarez,sw fs 180 to fs nosegrind,rail,handrail,9,garfield high,"Seattle, WA",kotr,,
384,february,2012,peter ramondetta,sw fs smith,rail,handrail,6,,,,,
385,march,2012,jon dickson,sw kickflip,gap,,6 block,D7,"New York City, NY",,,
386,april,2012,grant taylor,stale,transition,bowl,,Pizzey Bowl,"QLD, Australia",,,soty
387,may,2012,corey duffel,bs crook,ledge,out ledge,5 flat 3,,,,,
388,june,2012,danny way,bs kickflip,gap,mega ramp,,,,murderer,,
389,june,2012,kreayshawn,,portrait,music,,,,woman,Music,
390,july,2012,jim greco,nose pick,ledge,,,,,,,
391,august,2012,trevor colden,sw tre flip,gap,,,house of drops,,big gap,,
392,september,2012,dane burman,bs 5050,rail,handrail,14,,,,,
393,october,2012,david gonzales,fs 5050,rail,handrail,8 flat 8,dompierre spot,,,,
394,november,2012,marc johnson,casper stall,transition,street transition,,maitland banks,Florida,,,
395,december,2012,figgy,bs crook,rail,handrail,5 flat 7,,,,,
396,january,2013,vincent alvarez,kickflip to pivot to fakie,transition,street transition,,,,combo,Alvarez,
397,january,2013,elijah berle,fs indie,transition,channel,,,,,Berle,
398,january,2013,corey kennedy,bs crook to pop over,rail,handrail,9,,,,Kennedy,
399,january,2013,raven tershy,fs fastplant,transition,street transition,,,,,Tershy,
400,january,2013,stevie perez,bs 180 to nosegrind,rail,handrail,10,,,,Perez,
401,february,2013,"grant taylor, omar salazar","bs 5050, bs 5-0",rail,bank to rail,,,,,,
402,march,2013,ben raybourne,bs indie,transition,park,,burnside,portland,,,
403,april,2013,david gonzales,tuckknee,transition,park,,,Hawaii,,,soty
404,may,2013,david gravette,fs 5-0,rail,bank to rail,,ditch,,,,
405,june,2013,clint walker,bs smith,rail,,13,,,,,
406,july,2013,nyjah huston,fs 5-0,rail,handrail,9 flat 9,,,,,
407,august,2013,chris pfanner,kickflip,stairs,,7 flat 8,,,,,
408,september,2013,collin provost,fs 180,gap,bump to bar,,,,,,
409,october,2013,brandon westgate,tre flip,gap,euro,,,,huuuge,,
410,november,2013,ishod wair,kickflip to bs lipslide,rail,handrail,12,,,,,
411,december,2013,dane burman,fs 5050 to gap,rail,handrail,17 flat 17,Muni,"Philadelphia, PA",,,
412,january,2014,mark suciu,bs noseblunt,rail,handrail,7,SF State kinker,"San Francisco, CA",,,
413,february,2014,ben raybourne,bs fastplant,transition,diy,,,,,,
414,march,2014,torey pudwill,nollie kickflip,5 block,,,,,,,
415,april,2014,ishod wair,no comply,barrier,,,,,,,soty
416,may,2014,jaws,drop in,drop in,dump truck,,,,,,
417,june,2014,taylor kirby,ollie,gap,over fence,18,,,,,
418,july,2014,ryan decenzo,fs blunt,rail,,,,,,,
419,august,2014,dylan reider,bs smith,ledge,,,,Germany,first ledge trick in a while,,
420,september,2014,dustin dollin,fs 180 to nosegrind,ledge,hubba,18,Hollywood Bowl,"Los Angeles, CA",,,
421,october,2014,miles silvas,kickflip to bs tailslide,ledge,hubba,11,Stanford Hubba,"Palo Alto, CA",,,
422,november,2014,jeremy leabres,fs blunt,rail,handrail,5 flat 5,,,,,
423,december,2014,"ben raemers, louie barletta","bs fastplant, bs ollie",transition,oververt,,,,,,
424,january,2015,ishod wair,fs tailslide,rail,handrail,9 flat 7,,,,Ishod,
425,january,2015,torey pudwill,bs tailslide,ledge,hubba,13,,,,Pudwill,
426,january,2015,blake carpenter,ollie,gap,,,,,,Carpenter,
427,january,2015,brandon westgate,bs boardslide,rail,handrail,,,,up handrail,Westgate,
428,february,2015,ben raybourne,invert,transition,street transition,,,,kotr,,
429,march,2015,anthony van engelen,sw suicide 5-0,rail,handrail,8,Columbus Park,"New York City, NY",that rail,,
430,april,2015,wes kremer,ollie to fakie,transition,street transition,,,,,,soty
431,may,2015,jack fardell,fs 5050,rail,handrail,8 flat 11 flat 3,,"San Francisco, CA",insane,,
432,june,2015,daniel lutheran,suicide 5050,rail,handrail,20,,,,,
433,july,2015,rowan zorilla,fs wallride,wall,,11,,,,,
434,august,2015,sascha daley,kickflip,gap,into bank,,ditch,,what,,
435,september,2015,raven tershy,bs tailslide nose grab,transition,pool,,,,,Raven,
436,september,2015,figgy,bs crook,rail,handrail,24,,,,Figgy,
437,october,2015,jake johnson,no comply,gap,bump to gap,,besos,"Barcelona, Spain",,,
438,november,2015,miles silvas,sw bs smith,ledge,hubba,11,,,,,
439,december,2015,rowan zorilla,fs smith,ledge,hubba,10,Oceanside,Oceanside,,,
440,january,2016,shane oneill,sw kickflip to bs noseblunt,rail,handrail,7,,,,,
441,february,2016,evan smith,ollie,gap,over rail,11 flat 12,,,,,
442,march,2016,jaws,melon,stairs,,25,Lyon 25,"Lyon, France",tourist attraction ahaha,,
443,april,2016,anthony van engelen,bs 5050,rail,,,,,,,soty
444,may,2016,jerry hsu,nollie bs 180 to fakie 5-0,rail,handrail,6,,,,,
445,june,2016,dennis busenitz,kickflip,transition,street transition,,China Banks,"San Francisco, CA",,,
446,july,2016,daan van der linden,bs noseblunt,ledge,hubba,12,paul revere elementary,"San Francisco, CA",,,
447,august,2016,elijah berle,gap to fs 5050,rail,handrail,,,,,,
448,september,2016,ben raybourne,invert,transition,pool,,,,kotr,,
449,october,2016,mike anderson,nose bonk,transition,oververt,,Seawall,"Chicago, IL",,,
450,november,2016,figgy,fs nose grind yank,rail,handrail,8,,,,,
451,december,2016,evan smith,kickflip to bs wallride,wall,over rail,9,,,,,
452,january,2017,kyle walker,kickflip,gap,over rail,,,,,Walker,
453,january,2017,dylan reider,kickflip,bank,,,,,,Dylan,
454,february,2017,yonnie cruz,sw bs lipslide,ledge,out ledge,7,,London,,,
455,march,2017,jim greco,kickflip,transition,street transition,,LA city hall,"Los Angeles, CA",those quarters,,
456,april,2017,kyle walker,fs blunt,rail,handrail,13,,,,,soty
457,may,2017,lizzie armanto,method,transition,halfpipe,,,,best cover,,
458,june,2017,kevin baekkel,boardslide,transition,street transition,,ditch,,,,
459,july,2017,rick howard,ollie,gap,bump to gap,,,,bordering on art,,
460,august,2017,ducky kovacs,fast plant,stairs,,4 flat 10,,,,,
461,september,2017,clive dixon,fs lipslide,rail,handrail,24,,,,,
462,october,2017,shane oneill,sw kickflip,gap,street gap,,Heath Kirchart Gap,"San Dimas, CA",,,
463,november,2017,ben raemers,invert,transition,pool,,,,kotr,,
464,december,2017,louie lopez,bs wallride,wall,,12,,,,,
465,january,2018,jamie foy,fs crook,rail,handrail,20,El Toro,,,,
466,february,2018,pedro delfino,bs boardslide,ledge,hubba,10,,"San Francisco, CA",,,
467,march,2018,nyjah huston,fakie fs 5050,rail,handrail,18,La Jolla High School,"San Diego, CA",,,
468,april,2018,jamie foy,bs smith,rail,handrail,13,,,,,soty
469,may,2018,jason jesse,dog pisser to fakie,transition,halfpipe,,,,,,
470,june,2018,louie lopez,bs noseblunt,ledge,,,,"Beverly Hills, CA",,,
471,july,2018,mark gonzales,fs boneless,transition,,,demo,,,,
472,august,2018,jesse vieria,kickflip to bs 5050,rail,handrail,14 flat 7,,"San Francisco, CA",,,
473,september,2018,josh kalis,fs noseblunt,ledge,,,Muni,"Philadelphia, PA",awesome,,
474,october,2018,brandon westgate,ollie,gap,into bank,22,,,,,
475,november,2018,evan smith,bs 360,gap,bump to bump,,,,kotr,,
476,december,2018,zion wright,bs 5-0,rail,handrail,24,,,,,
477,january,2019,tyshawn jones,ollie,gap,,,,"New York City, NY",that fucked gap,,
478,february,2019,simon bannerot,wallride,transition,ceiling,,,,,,
479,march,2019,clive dixon,bs boardslide,rail,handrail,,water tower gap,,that fucked rail,,
480,april,2019,tyshawn jones,nollie heelflip,gap,bump to gap,,,,,,soty
481,may,2019,myles willard,wallride,wall,off roof,,,,,,
482,june,2019,jake phelps,fs smith,transition,halfpipe,,,,vintage photo,,
483,july,2019,wes kremer,tre flip,stairs,over rail,9,,,,,
484,august,2019,mark suciu,bs 5050,rail,,,,,,,
485,september,2019,raney beres,invert,transition,pool,,,,,,
486,october,2019,jaacko ojanen,hippie jump,gap,,,,,,,
487,november,2019,felipe nunes,bs 5-0,rail,handrail,14,,"San Diego, CA",no legs,,
488,december,2019,milton martinez,kickflip,gap,into bank,,Sunset Carwash,"Los Angeles, CA",,,
489,january,2020,figgy,fs feeble,rail,handrail,3 flat 13,,,,,
490,february,2020,tom knox,bs lipslide,ledge,,,,London,behind phone box,,
491,march,2020,jack o'grady,bs 5050,ledge,hubba,20,,,,,
492,april,2020,mason silva,ollie,gap,into bank,,,,,,
493,may,2020,milton martinez,bs smith,ledge,hubba,13,,,,,soty
494,june,2020,jeff grosso,invert,transition,halfpipe,,,,vintage photo,,
495,july,2020,tristan funkhouser,wallride indie,wall,,,,,,,
496,august,2020,nyjah huston,bs tailslide,rail,handrail,18,UCI 18,,,,
497,september,2020,,,portrait,,,,,blm,,
498,october,2020,louie lopez,fs feeble,rail,handrail,14,,,,,
499,november,2020,john shanahan,suicide 5050,rail,handrail,,,,pole jam backwards,,
500,december,2020,elijah berle,fs 5050,rail,handrail,7 flat 7,,,,,
501,january,2021,john cardiel,bs melon,transition,park,,ripon,,throwback,,
502,february,2021,carlos ribiero,sw bs noseblunt,ledge,hubba,,Clipper,"San Francisco, CA",,,
503,march,2021,guy mariano,fs feeble,transition,ditch,,ditch,,,,
504,april,2021,jack o'grady,bs 5050 to 5050,rail,handrail,9 flat 9,,,fucked off,,
505,may,2021,mason silva,nosepick,transition,mountain,,,,,,soty
506,june,2021,yuto horigome,Nollie bs 270 noseslide,rail,handrail,9,,,,,
507,july,2021,grant taylor,kickflip,gap,,,,,,,
508,august,2021,jimmy wilkins,fs handplant,transition,park,,,,,,
509,september,2021,evan smith,ollie,gap,bridge,,bay bridge,,,,
510,october,2021,breana geering,bs crook,ledge,into bank,,,,woman,,
511,november,2021,tyshawn jones,sw ollie,flat,over table,,,,,,
512,december,2021,tristan funkhouser,fs ollie,transition,street transition,,China Banks,"San Francisco, CA",,,
513,january,2022,samarria brevard,hippie flip,flat,over handrail,,,,woman,,
514,february,2022,fred gall,,portrait,,,,,,,
515,march,2022,,,art,neckface,,,,500th cover,,
516,april,2022,frankie decker,no comply,gap,over fence,,,,frankie!!,,
517,may,2022,mark suciu,fs tailslide,rail,handrail,14,,,,,soty
518,june,2022,giorgi armani,fs crook,ledge,hubba,8 flat 6,Cardiel Hubba,"San Francisco, CA",,,
519,july,2022,austin kanfoush,fs slash,transition,street transition,,,,,,
520,august,2022,louie lopez,fs 50-50,rail,handrail,,,France,,,
521,september,2022,rob pace,fs 50-50 to fs feeble,rail,handrail,10 flat 10,,,,,
522,october,2022,brian o'dwyer,ollie,gap,,,Muni,"Philadelphia, PA",,,
523,november,2022,ronnie sandoval,bs noseblunt,transition,park,,,,,,
524,december,2022,tyshawn jones,kickflip,gap,,,subway gap,"New York City, NY",,,
525,january,2023,funa nakayama,fs crook,rail,handrail,16,Hollywood High,"Los Angeles, CA",woman,,
526,february,2023,nick matthews,bs smith,ledge,into bank,,,,,,
527,march,2023,emile laurent,rock to fakie,transition,pole,,burnside,portland,,,
528,april,2023,austyn gillette,sw tre flip,gap,over hydrant,,,"Los Angeles, CA",,,
529,may,2023,tyshawn jones,bs kickflip,gap,over bench,,,AU,,,
530,june,2023,antonio durao,sw tre flip to noseblunt,rail,handrail,,,Texas,,,
531,july,2023,nico hiraga,wallride,wall,,,,"San Francisco, CA",,,
532,august,2023,jack o'grady,ollie,gap,into bank,,,,,,
533,september,2023,john shanahan,ollie,gap,over pawn,,Muni,"Philadelphia, PA",,,
534,october,2023,nora vasconcellos,nose pick,transition,,,,Spain,woman,,
535,november,2023,miles silvas,fs crook,rail,handrail,11,,"San Francisco, CA",,,
536,december,2023,tom knox,ollie,stairs,,10,,UK,,,
537,january,2024,ducky kovacs,drop in,bank,,,Embarcadero,"San Francisco, CA",slam,,
538,february,2024,jeff carlyle,sw 50-50,rail,rainbow rail,,,,,,
539,march,2024,elissa steamer,fs 50-50,ledge,hubba,,,"Los Angeles, CA",woman,,
